Image,Noise Reduction,Filter Size,CLAHE,Grid Size,Pct,static_foreground_removal,Dilation,Opening,Closing,Smoothing_after_morph,objects_before_post_processing,objects_after_post_processing,TP,FP,FN,Precision,Recall,F1,RMSE
2,Gaussian,5,False,8,50,True,True,False,False,True,131,29,15,18,36,0.45454545454545453,0.29411764705882354,0.35714285714285715,18.0
2,Gaussian,5,False,8,50,True,True,False,True,False,126,23,13,13,38,0.5,0.2549019607843137,0.33766233766233766,25.0
2,Gaussian,5,False,8,50,True,True,False,True,True,118,29,15,18,36,0.45454545454545453,0.29411764705882354,0.35714285714285715,18.0
2,Gaussian,5,False,8,50,True,True,True,False,False,90,22,11,12,40,0.4782608695652174,0.21568627450980393,0.2972972972972973,28.0
2,Gaussian,5,False,8,50,True,True,True,False,True,72,27,13,16,38,0.4482758620689655,0.2549019607843137,0.325,22.0
2,Gaussian,5,False,8,50,True,True,True,True,False,66,22,11,13,40,0.4583333333333333,0.21568627450980393,0.2933333333333333,27.0
2,Gaussian,5,False,8,50,True,True,True,True,True,66,27,13,16,38,0.4482758620689655,0.2549019607843137,0.325,22.0
2,Median,3,True,8,20,True,False,False,False,False,8627,166,33,139,18,0.19186046511627908,0.6470588235294118,0.29596412556053814,121.0
2,Median,3,True,8,20,True,False,False,False,True,4102,486,27,466,24,0.05476673427991886,0.5294117647058824,0.09926470588235294,442.0
2,Median,3,True,8,20,True,False,False,True,False,3781,238,25,222,26,0.10121457489878542,0.49019607843137253,0.16778523489932884,196.0
2,Median,3,True,8,20,True,False,False,True,True,2849,369,24,353,27,0.0636604774535809,0.47058823529411764,0.11214953271028036,326.0
2,Median,3,True,8,20,True,False,True,False,False,2373,165,37,136,14,0.2138728323699422,0.7254901960784313,0.33035714285714285,122.0
2,Median,3,True,8,20,True,False,True,False,True,1168,168,33,145,18,0.1853932584269663,0.6470588235294118,0.28820960698689957,127.0
2,Median,3,True,8,20,True,False,True,True,False,1074,94,31,74,20,0.29523809523809524,0.6078431372549019,0.39743589743589747,54.0
2,Median,3,True,8,20,True,False,True,True,True,924,133,30,113,21,0.2097902097902098,0.5882352941176471,0.30927835051546393,92.0
2,Median,3,True,8,20,True,True,False,False,False,7992,162,29,141,22,0.17058823529411765,0.5686274509803921,0.2624434389140271,119.0
2,Median,3,True,8,20,True,True,False,False,True,3914,457,17,447,34,0.036637931034482756,0.3333333333333333,0.06601941747572815,413.0
2,Median,3,True,8,20,True,True,False,True,False,3596,236,10,227,41,0.04219409282700422,0.19607843137254902,0.06944444444444443,186.0
2,Median,3,True,8,20,True,True,False,True,True,2703,364,10,355,41,0.0273972602739726,0.19607843137254902,0.04807692307692307,314.0
2,Median,3,True,8,20,True,True,True,False,False,1738,161,33,138,18,0.19298245614035087,0.6470588235294118,0.29729729729729726,120.0
